Created (UTC),Amount,Currency,Converted Amount,Fee,Tax,Converted Currency,Status,Captured,Card Last4,Card Brand,Card Funding,Card Exp Year,Card Issue Country,Card CVC Status,Card AVS Zip Status,Payment Source Type
11/5/17 5:10,1075,usd,1075,31.48,0,usd,Paid,TRUE,5098,Visa,credit,2020,US,pass,pass,card
11/1/17 0:19,584.5,usd,584.5,17.25,0,usd,Paid,TRUE,2592,Visa,credit,2022,US,pass,pass,card
10/18/17 22:29,847,usd,847,0,0,usd,Refunded,TRUE,4001,American Express,credit,2020,US,pass,fail,card
10/18/17 1:52,847,usd,847,24.86,0,usd,Paid,TRUE,4001,American Express,credit,2020,US,pass,pass,card
10/12/17 2:27,868,usd,868,25.47,0,usd,Paid,TRUE,3769,Visa,debit,2021,US,pass,pass,card
10/11/17 10:49,6995,usd,6995,0,0,usd,Failed,FALSE,774,Visa,credit,2020,LU,pass,,card
10/7/17 1:21,1230,usd,1230,35.97,0,usd,Paid,TRUE,2165,Visa,credit,2020,US,pass,pass,card
10/5/17 13:54,45,usd,45,1.61,0,usd,Paid,TRUE,4390,MasterCard,debit,2018,US,pass,pass,card
10/5/17 13:49,640,usd,640,18.86,0,usd,Paid,TRUE,4390,MasterCard,debit,2018,US,pass,pass,card
10/2/17 15:49,3920,usd,3920,113.98,0,usd,Paid,TRUE,2044,American Express,credit,2020,US,pass,pass,card
9/28/17 2:02,1000,usd,1000,29.3,0,usd,Paid,TRUE,6319,MasterCard,credit,2021,GB,pass,fail,card
9/21/17 2:37,1179,usd,1179,34.49,0,usd,Paid,TRUE,1009,American Express,credit,2020,US,pass,fail,card
9/8/17 17:51,0.5,usd,0.5,0,0,usd,Failed,FALSE,5201,Visa,credit,2021,BR,fail,,card
9/4/17 6:44,10890,usd,10890,316.11,0,usd,Paid,TRUE,6639,American Express,credit,2022,KR,pass,,card
9/4/17 4:36,10890,usd,10890,0,0,usd,Failed,FALSE,6639,American Express,credit,2022,KR,pass,,card
9/4/17 4:35,10890,usd,10890,0,0,usd,Failed,FALSE,6639,American Express,credit,2022,KR,pass,,card
9/4/17 4:31,10890,usd,10890,0,0,usd,Failed,FALSE,8039,Visa,credit,2021,KR,pass,,card
9/4/17 4:13,10000,usd,10000,260.47,0,usd,Paid,TRUE,1009,American Express,credit,2020,US,pass,pass,card
9/4/17 4:02,12301,usd,12301,0.25,0,usd,Paid,TRUE,,,,,,,,bank_account
9/3/17 7:07,10890,usd,10890,0,0,usd,Failed,FALSE,5251,MasterCard,credit,2021,KR,unavailable,,card
9/3/17 7:06,10890,usd,10890,0,0,usd,Failed,FALSE,5251,MasterCard,credit,2021,KR,unavailable,,card
9/3/17 7:03,10890,usd,10890,0,0,usd,Failed,FALSE,3116,MasterCard,credit,2022,KR,unavailable,,card
9/3/17 7:02,10890,usd,10890,0,0,usd,Failed,FALSE,3116,MasterCard,credit,2022,KR,unavailable,,card
8/30/17 21:48,9152,usd,9152,265.71,0,usd,Paid,TRUE,1543,Visa,credit,2021,US,pass,pass,card
8/30/17 3:40,9152,usd,9152,265.71,0,usd,Paid,TRUE,2362,Visa,credit,2019,US,pass,pass,card
8/28/17 19:47,5824,usd,5824,0,0,usd,Failed,FALSE,3019,MasterCard,credit,2020,NZ,unavailable,,card
8/25/17 5:26,9152,usd,9152,0,0,usd,Failed,FALSE,1543,Visa,credit,2021,US,pass,pass,card
8/18/17 17:33,20000,usd,20000,580.3,0,usd,Paid,TRUE,1009,American Express,credit,2020,US,pass,pass,card
8/13/17 23:49,2084,usd,2084,60.74,0,usd,Paid,TRUE,5278,Visa,credit,2022,US,pass,pass,card
8/13/17 23:38,2084,usd,2084,0,0,usd,Failed,FALSE,5278,Visa,credit,2022,US,fail,pass,card
8/11/17 12:08,2621,usd,2621,76.31,0,usd,Paid,TRUE,3816,Visa,credit,2019,HK,pass,,card
8/8/17 2:06,1876,usd,1876,54.7,0,usd,Paid,TRUE,431,Visa,credit,2020,US,pass,pass,card
8/3/17 9:05,2621,usd,2621,76.31,0,usd,Paid,TRUE,9717,Visa,credit,2019,HK,pass,,card
8/2/17 15:33,2621,usd,2621,0,0,usd,Failed,FALSE,5008,MasterCard,credit,2022,HK,unavailable,,card
8/2/17 15:28,2621,usd,2621,0,0,usd,Failed,FALSE,5008,MasterCard,credit,2022,HK,unavailable,,card
8/2/17 15:26,2621,usd,2621,0,0,usd,Failed,FALSE,5008,MasterCard,credit,2022,HK,unavailable,,card
8/2/17 15:24,2621,usd,2621,0,0,usd,Failed,FALSE,5008,MasterCard,credit,2022,HK,unavailable,,card
8/2/17 15:08,2621,usd,2621,0,0,usd,Failed,FALSE,5008,MasterCard,credit,2022,HK,pass,,card
8/2/17 4:44,2621,usd,2621,76.31,0,usd,Paid,TRUE,3816,Visa,credit,2019,HK,pass,,card
8/2/17 3:48,8274,usd,8274,240.25,0,usd,Paid,TRUE,8053,MasterCard,credit,2021,HK,pass,,card
8/2/17 2:54,1,usd,1,0.33,0,usd,Paid,TRUE,6314,Visa,debit,2021,US,pass,pass,card
7/21/17 5:29,25.12,usd,25.12,0,0,usd,Refunded,TRUE,4587,Visa,prepaid,2021,US,pass,pass,card
7/21/17 5:28,397.78,usd,397.78,0,0,usd,Failed,FALSE,4587,Visa,prepaid,2021,US,pass,unavailable,card
9/29/15 6:49,6996.79,usd,6996.79,203.21,0,usd,Paid,TRUE,8614,Visa,credit,2019,AU,pass,,card
8/9/15 17:55,1359.6,usd,1359.6,39.73,0,usd,Paid,TRUE,7650,Visa,credit,2018,US,,,card
8/6/15 0:56,6870.1,usd,6870.1,199.53,0,usd,Paid,TRUE,7650,Visa,credit,2018,US,,,card
6/12/15 18:41,1080.06,usd,1080.06,31.62,0,usd,Paid,TRUE,6563,MasterCard,debit,2016,US,,,card
6/12/15 0:21,2000,usd,2000,58.3,0,usd,Paid,TRUE,6563,MasterCard,debit,2016,US,,,card
